2018-10-18 01:09:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 36,31; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 35,31; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 34,31; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:57 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 33,31; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:57 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 32,31; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:57 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 31,31; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:57 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 30,31; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:57 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 29,31; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:57 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 28,31; Key:    [1]; Health:  87.5; Tile: ROAD
2018-10-18 01:09:57 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 27,31; Key:    [1]; Health:  87.5; Tile: ROAD
